,movie,title,text,score,user,date,helpfulness_votes,positive_helpfulness_votes
115,Goodfellas,A great director at the peak of his talents,"It is hard to describe the brilliance that is Goodfellas. As good as Raging Bull and Taxi Driver are, I think Goodfellas is Martin Scorsese's best film and is a textbook example of a great director at the peak of his talents. The film crackles with raw energy and enthusiasm, the film is superbly directed and the final sequence is nothing short of stunning. The script is also excellent with memorable quotes, the story is never less than compelling and the pop and rock soundtrack is winning. The cinematography and detail is immaculate, and the ensemble cast is one of film's finest. Joe Pesci won an Oscar for his performance, and as good as he was, he is perfectly matched by Robert DeNiro and Ray Liotta. All in all, it is a brilliant film and an instant classic no matter what time, day, week or year. 10/10 Bethany Cox",10.0,TheLittleSongbird,2011/01/09,15,9
116,The Green Mile,Tom Hanks In Another Overrated Overblown Film,"***** POSSIBLE SPOILERS ****** Aw come on guys how can anyone vote this film into the IMDB top 250 ? First of all it features the most unconvincing prison officers in the history of cinema who are wetter than drowned fish , there`s no way these guys would get jobs as bleeding heart social workers never mind become guards on death row . Secondly this film is just so predictable ( Which is why I warned of possible spoilers ) there`s no way the audience can be taken in that John Coffey is guilty of murdering a child , and likewise you just know that Percy ain`t gonna enjoy his pension . Thirdly am I alone in thinking Percy didn`t deserve his fate ? He`s surrounded by murdering scum so what do I care if he breaks inmates fingers and lets them suffer in the chair . At least Percy acts in a believable way and consistent manner unlike his colleagues Fourthly this film lasts more than 3 hours and there`s hardly any plot twists that saved THE SHAWSHANK REDEMPTION from accusations of being overlong All in all a very overrated overlong film based on a very weak Stephen King story . The fact that King`s original novellas were marketed through a gimmick says a lot about the uninteresting story . Is it any surprise that no one wants to adapt King novels for the big screen these days ?",6.0,Theo Robertson,2002/11/20,107,31
117,Spider-Man 2,The best Spiderman movie,"I'm a big fan of comic books and comic book conversation when done right. Spiderman is on of the best comic best to be made and is an important cultural figure and important to Marvel Comics. The first and the third films were both good, the first was an introduction and the third really underused Venom. Spiderman 2, like X-Men 2 is best in the film franchise.Spiderman is meant to be more family friendly and a little serious then say the X-Men films and Batman Begins, but is still very fun and avoids going down the camp or comic root which is easy to do.Spiderman 2 takes place after the first film and the credits give you a brief run down of what happened. Peter Parker (Tobey Maguire) is struggling in his life, he had rejected the love of his life, Mary-Jane Watson (Kirsten Durst), his friendship with Harry Osborn (James Franco) is strained because he believed Spiderman killed his father and Peter wouldn't tell him anything. Peter is also struggling at university, unable to keep a hold of a double-life, suffering money troubles and had just been sacked as a pizza boy. Harry offered him the chance to meet with Dr. Otto Octavius (Alfred Molina) which Peter takes up. However during a demonstration of his invention his gets killed and the metal arms that he used to control the invention before fused with his body. From then on he became Dr. Octopus and sets out to make money so he could re-build the machine. At the same time Peter's relationship with Mary-Jane is getting worse, he missed the play she was starting in and then he finds out she became engaged with John Jameson, J. Jonah Jameson's son. However, as the film continues Mary-Jane doubts Peter's earlier claims that he wasn't in love with her and starts to develop feelings herself. Peter also starts loosing his powers and he starts to doubt whether to be Spiderman anymore. This was confirmed when he spoke with a doctor and then with his Uncle Ben in a dream. However, without Spiderman crime starts to raise in New York and Peter relies that he can't hide from his destiny.The reason why this film is so good was because of Sam Raimi's director. He focus' on the psychology of Peter/Spiderman and looks at relationships with many characters. He shows how a double life could take its toll on a person. There are also issues of sacrifice that Peter had to face and the guilt he suffered from his Uncle Ben being murdered. The CGI and the special effect had improvement from the film and they are stunning. There are great sequence in the movie such as Spiderman vs. Doc Ock on the church and the fight on the subway train. Raimi also has good casting instincts. Maguire is good at playing Peter as a bit of a geek and the films have made him an A-Lister. The other opinion was Jack Gyllenhaal and he possibly would have played Peter as a man who was a little more cooler and less of a social outcast. Durst and Franco had also improved as actors from the first film and you care for them more, especially Durst and I personally think she looks betters as a red-head then blonde. Molina is good as Doc Ock and shows that Raimi is able to get a stage actor like him to be in an action film like this. There are also regular like Rosemary Harris as Aunt May who is a good casting choice and the best of all was J.K. Simmons as J. Jonah Jameson, playing the character just right and looks like him as well and if you ever seen Simmons in the programme Oz then you will see how good an actor he is because it will special you when you find out what character he plays. Raimi also got the mix of fantasy and reality just right and doesn't go silly with it like some versions of Spiderman have done.",10.0,freemantle_uk,2008/05/06,9,7
118,Spider-Man 2,Balanced almost as perfectly as an egg on the back of a spoon,"Having enjoyed the first Spider-Man movie, I was looking forward eagerly to this movie, and to bluntly ruin the surprise, I was impressed beyond expectations. In a superhero movie, good action is usually a given, but a good story is hard to manage, and Spider-Man 2 honorably handles both these elements with a grace that equals Spidey's when he's web-swinging across the skyscrapers of New York City.Spider-Man 2's story, which is themed on internal strife, is one of the mature and realistic I've ever seen in a superhero movie, and it portrays the duality of the protagonist and antagonist's lives very effectively. Spider-Man 2 is also one of the few superhero movies that manage to be serious without getting dragged or seeming self-obsessed.But even with its seriousness, Spider-Man 2 proudly embraces the lightness of its origins with J.K. Simmons' hilarious stints as the brash Daily Bugle editor J. Jonah Jameson, Doc Ock's dark sarcasm, a side-splitting scene with Spidey taking an elevator and a cameo by Bruce Campbell as an annoying doorkeeper at a theater, along with more subtle humorous moments with Peter Parker. Amazingly, none of the humor feels out of place, cheesy or overdone.However, Spider-Man 2's story is not without its flaws, almost all of which had to do with prematurely revealing Spidey's secret identity, something that should have been delayed as late as possible in the series. The first time Harry does the unmasking (thanks to some good help from Doc Ock), which should've been avoided but wasn't as paining as the second time, when Spidey deliberately takes off his half-damaged mask during the climax, revealing his identity to a train full of passengers.Perhaps sensibly, the movie makes no effort at explaining the knock-on effects of the revelation of a superhero's identity in a place like NYC (especially with people like J. Jonah Jameson around), but then why unmask Spidey in front of an entire crowd in the first place? But since this is just one inconsistency in an otherwise superb plot, it's somewhat forgivable.The action sequences are much, much better than the first movie, and probably the best I've ever seen in a superhero movie. While the first Spider-Man featured a good deal of almost kung fu like action, this time around Spidey grapples and smashes objects on a far bigger scale  the best of which occur on the façade of a skyscraper and on top of an elevated train (the climax). But what makes it all so exciting is that Spidey does all this against four mechanical tentacles that are essentially the arms of his nemesis, Doc Ock.Talking of Doc Ock, I feel that it's necessary to mention that his tentacles feel so organic and natural in their movements that it feels like they're actually his arms, controlled by his own muscles; in fact, they're even capable of emoting when needed, such as during the more dramatic scenes when Doc Ock questions his conscience, which is a big feat in itself. Spidey's costume has also undergone some subtle changes this time; the colors are richer, the lenses are whiter and maybe a little more opaque, and the costume generally looks more imposing on-screen.The acting is miles better than the first movie from the ENTIRE cast, with Tobey Maguire and Alfred Molina taking the top spots in the major roles. However, Kirsten Dunst still had more room for expression. There is also something unique about the way the web-swinging scenes are filmed that I didn't feel in the first movie; it feels like you're swinging with Spidey. I later found out that this was the result of a new camera-work technique called the Spyder-Cam; anyways, great stuff. The cinematography is also top-notch throughout the movie, and especially so during the action sequences.Overall, Spider-Man 2 is a tremendous leap forward in every aspect from its already-impressive predecessor, and in my honest opinion, quite simply the best superhero movie made so far (since this review is pretty late, I include the extremely overrated Dark Knight in that too). RATING: 9/10.",9.0,retroguy02,2008/08/14,9,7
119,Goodfellas,Cinematic perfection (minor spoilers),"This film shows us a life lived to the excess. The tone of the film suggests more a study of social behavior than outright gangster film, I have even heard it being classed as a modern day noir, whatever, it's brilliant.The acting is amazing, the cinematography is top bracket, the music is heavenly (in it's depiction of Hell). Scorcese was born to make this movie, it's impossible to study it the first few times you watch because it sweeps you up and dumps you down at the end. It leaves you breathless. There is brutal violence, drug use, and colourful language, but there's no use complaining because this is the mafia, these are bad people, what do you expect? Told in flashback it is based on the story of Henry Hill, a boy who grows up dreaming of making it in the Mafia, he works his way into the higher ranks of the organised crime syndicate and through a stunning series of set pieces his coke-addled paranoia shows us his downfall and eventual fate. There are various voice-overs to give the action a sense of perspective, but there are so many things going on it's best just to let it flow.De Niro and Pesci are at the top of their game, and the supporting cast give this film a weight unmatched by many. As examples of perfection of the art of film-making go, not many texts can match Goodfellas, it's utterly enthralling.",10.0,ill_behavior,2004/12/07,27,14
120,Taxi Driver,Masterful direction by Scorsese delivers an atmospheric classic!,"What I find the main aspect that makes Taxi Driver work is the atmosphere.Robert De Niro plays a man who develops an ever-growing sense of isolation. It's here that Scorsese works his magic, developing such a moody atmosphere it perfectly accentuates this feeling in the film's main character. Add to that a jazzy soundtrack and you've got a fantastic blend of visuals and storytelling. It's grimy, ugly, and disturbing, but ever so compelling.",9.0,skeleturtle,2020/08/12,5,4
121,The Green Mile,"Wonderful, Moving to Tears...","I love this movie, and I have seen it a couple times. It doesn't matter that I know what is going to happen or that I know the movie like the back of my hand, I cry endlessly every single time. I watched it again last night. My boyfriend and I bought it, and he had never seen it. So we sat down to watch the movie, and I realized how truly emotionally moving this movie is.IF YOU HAVE NOT SEEN THE ENTIRETY OF THE MOVIE DO NOT READ ANY FURTHER DOWN...The characters in this movie really hit home. You fall in love with these men that are on death row..(all except for ""Wild Bill""). You don't know what on earth they have done, yet it is so bad that they are on death row, and you fall in love with them. You can't help it. I sat there last night, propped up on my pillow in the bed and watched and fell in love with this huge beast of a man that is convicted of raping and murdering two girls. (I knew from the get-go that he didn't do it). And I watched and fell in love with Dale, a French, homosexual, crazy, mouse-loving man. I watched him fall in love with Mr. Jingles. I grew into this hate for Percy ""WET""more (I still get a kick out of that name). And when it came time for Dale to be executed, I cried like I was losing a family member. It was so hard to watch this happen! My boyfriend had to pause the movie, just to check on me. I sat there for five minutes, crying so hard. Then the same thing for John Coffey, I couldn't even watch him be persecuted. I sat beside my boyfriend, face buried in his chest weeping every tear out of me. It was so awful. I have NEVER in my life had a movie effect me like the way this one does. It is a brilliant movie, and the characters chosen for each role could not have been better portrayed if this was a true story, with the real-life people playing their own parts. Tom Hanks is a wonderful actor, and personally I think he does his best when he is acting as a southern authority figure. He is such a convincing actor, along with everyone else in this movie. Props to the actors, director, and Stephen King, you all are wonderful!",,AnglsBbgrl,2002/12/12,7,4
122,Spider-Man 2,Best Spider-man Film,"Spider-man 2 is a perfect example of a film with a good story with lots of action, drama, entertainment, and has a good love story. This film surpasses the first one and despite the fact I had high expectations for this film, those expectations were sufficiently met. This is the best spider-man film.Sam Raimi returns as the director in this popular movie series. This film covers the emotional battle of Peter Parker and it is handled perfectly. Peter is torn between his duties as Spider-man, his responsibilities as a student, and most of all, his emotions. The result is Peter is uncertain what he wants and what he should do. The ultimate theme, the true test of a hero! What are the choices that Spider-man makes and the actions of those choices. They will define and determine the fate of his character, Spider-man. This story of Spidey's problems is handled perfectly alongside the story behind Doctor Octopus. The special effects in the movie are very good! Although some of the effects at times seemed obviously fake and way overdone! One of which I disliked was the Spider-man/Doc Ock battle on the skyscraper! Other than that, the special effects of the film were very satisfying.Tobey Maguire returns in perhaps his best performance of the movie series. Kirsten Dunst and James Franco are back as Mary Jane and Harry Osborne. I think Franco has a better performance as Harry in this film over the first film. But yet again, just as in the first film, the villain steals the show. Alfred Molina portrays Dr. Octopus. My personal favorite spider-man villain aside from Venom. He handles the character terrificly and the character is used perfectly as well. A good hearted man trapped in a mechanical and ""superior"" intelligence. Molina has the appearance and attitude of Doc Ock. He takes a very serious approach to Doc Ock which is very satisfying. He is a dangerous threat instead of a sometimes viewed old, crazy, and laughable villain. One of the best performances by an actor on a super-villain. He did not disappoint. J.K. Simmons returns in his humorous role as J. Jonah Jameson and Bruce Campbell makes a hysterical cameo appearance. Rosemary Harris portrays Aunt May and in this film, her character is more influential than ever! Her character has always been important to Peter but in this film her role is most significant. She has always been there for Peter but in this film she is able to provide Peter with the most wisdom and guidance he has ever needed. Her character is perfectly portrayed in this film. She is used as a pivotal necessity which is exploited wonderfully.Just an outstanding movie with an outstanding story and an outstanding usage of secondary characters! One of the best comic book films ever made and a true compliment to the Spider-man character. A fantastic film! The only reason I give it a 9 instead of a 10 is that it does not seem as captivating as other movies. It is a good film but I do not really get sucked into it near as much as I do with movies I give higher ratings. An outstanding movie, a must see by spidey lovers and spidey haters alike.",9.0,Lord_Crypto,2007/06/24,19,12
123,Taxi Driver,DeNiro at the peak of acting excellence,"Robert DeNiro gives a tour de force of acting excellence in this movie. One of the best acting performances of all time. This is a period of DeNiro's career when he was consistently churning out Oscar calibre performances one after another. He had this movie, Godfather Part II, The Deer Hunter, Raging Bull all within the same basic time frame. When DeNiro and Scorsese were teaming up to make movies it was the best actor/director combinations in movie history. You had the best mind for movies in Scorsese working with the best on screen performer of his time.It's a study of a man who's completely alone in the world even when surrounded by other people. What DeNiro was able to do just looking into a mirror asking ""Are you talking to me"" by himself is one of the best movie scenes in movie history.",10.0,Maniac-9,2013/01/17,17,11
124,Spider-Man 2,It can't be stopped. It's self-sustaining now.,"""He knows a hero when he sees one. Too few characters out there, flying around like that, saving old girls like me. And Lord knows, kids like Henry need a hero. Courageous, self-sacrificing people. Setting examples for all of us. Everybody loves a hero. People line up for them, cheer them, scream their names. And years later, they'll tell how they stood in the rain for hours just to get a glimpse of the one who taught them how to hold on a second longer. I believe there's a hero in all of us, that keeps us honest, gives us strength, makes us noble, and finally allows us to die with pride, even though sometimes we have to be steady, and give up the thing we want the most. Even our dreams."" I went back to look at this one, my favorite, again. If it wasn't for the success of Sam Raimi's Spider-man 2, there would be no 3. The direction, sound, special effects, and the characters all combined to make an enjoyable adventure.This had Mary Jane (Kirsten Dunst) at her best and really focused on her relationship with Peter Parker (Tobey Maguire). Alfred Molina was fantastic as Doc Ock. I am not a comics fan, but I do love Spider-Man and this is the best Spider-Man movie.",9.0,lastliberal,2007/07/24,16,10
125,Taxi Driver,"Its awful, full of flaws to be called a masterpiece","Taxi Driver is a bad movie. U cant call it a masterpiece, It has too many flaws. Just because a movie keeps viewers guessing,it doesn't become a classic. I have listed a few points which everyone should consider after watching the movie and before calling it a classic.1. The hero is shown as confused, psychic. But he acts perfectly alright while trying to woo his girl. He becomes confused, when the girl deserts him. So why is he confused, due to war or due to loss of lady love.2. He is a poor man. Don't drive his own cab, but manages to buy a dozen firearms illegally and all of good make. 3. He roams freely with half a dozen loaded guns. Moreover, he doesn't sleep at all. He drives by night and by day he is on streets. He is having insomnia, all right, but a man does get tired for lack of sleep. Ask a doctor?4. When his bid to kill the senator fails, he runs away. But is clearly marked. Security saw his face. Everyone know how he looks like. Yet he manages to roam freely on street, with all the weapons.5. Next he decides to rescue a prostitute. Now, did the girl asked for it? No But our friendly neighborhood taxi driver, decides to do the job.6. In the end he is killing all people. When he fires people get killed, but even after two fatal shots he is alive. This is not a supposed action flick, but a masterpiece.7. The press hail him as a hero. But did anyone cared what was he doing there, with all those guns. Killing bad guys doesn't make him immune to law, but he goes free.I wish the people watch the movie with an open mind, not clouded by ratings and critics view. And review the points marked by me.",1.0,King-Rishab,2005/04/26,124,52
126,The Green Mile,Overlong and too worthy but still a good story  just don't expect it to be anything like Shawshank 2!,"Now a resident in a rest home, one time head warden on death row, Paul Edgecomb, is struggling with his untold memories. When a film brings it all back to him he recounts the story of the time when a huge black prisoner called John Coffey was put into wing. It is not too long before the peaceful, loving prisoner, found guilty of the rape and murder of two children, has mysterious gifts that transcend the decay of the lives around the prison.After Shawskank Redemption I was attracted to this as many of the makers were the same not to mention the author, the prison setting and the running time. However that same running time and some negative reviews put me off and I didn't get round to seeing it till recently. The film is very slow and this is occasionally to it's detriment but not too often. It's main failing is that it's supernatural spin makes it difficult to get involved and lose yourself in completely. `Redemption's ` strength was that it was a human story. Green Mile tries to have the strength of human spirit at it's core but it doesn't quite come off.That's not to say that the story still isn't moving and involving because it is. However it doesn't come as easily as it should and when the story slows a little bit it does feel slow. It could easily have lost 30 minutes as at it's current length it feels like a long movie which is a bad thing  Two Towers is long but didn't FEEL long! Also something I always find annoying is when a score really works the emotion where the actual film can't manage it by itself  here the score is working overtime to wring every drop of emotion from the scenes.The film is very well directed and there are powerful moments of cruelty. When the chair is used I couldn't help but feel that it was real. However the main attraction (other than the mouse!) is a wonderful performance by Duncan. True there is an element of slave cliché about it but he rises above that a gives a performance of such emotion and such gentleness that came as a surprise from someone of his build. Hanks is also good and wisely plays it quite low-key and the support cast is solid, comprised of many many well known faces including Morse and Cromwell.Overall this is good but overlong. It is a very different film from Shawshank and many will compare it to that much better film. However the film is worth the work despite some simplistic errors and flaws.",,bob the moo,2003/03/08,36,14
127,The Green Mile,Michael Clarke Duncan,MCD was an amazing actor. Seriously could not believe my eyes when I watched this film. One of my all-time favorites. It will have you in tears I'm sure! And Tom Hanks is good as always in what was a very sensitive role.,10.0,hamsolo-07326,2018/09/29,14,9
128,Taxi Driver,"An Influencer, Mover, and Shaker","As a modern viewer of this, many plot lines and themes seem quite familiar, from the Veteran feelings presented in Rambo, to the over all dream like substance of the smooth jazz and late 70's aesthetic shown in Joker. The key to this all, is that this movie came first, so while watching it with that modern lens makes it feel less original and less of a classic, truly it shows just why it is a great film and has the renown that it deserves. For, without this film, many modern films that we know and love today may have been very different, if exist at all. The movie has one feeling the natural unease that comes with watching those around them be corrupted and destroyed while at the same time one of them is trying to soothe you and tell you that everything is going to be all right. It's strange, it's uncomfortable, but in the end it truly is great.",9.0,Storm3p,2020/05/07,5,4
129,Goodfellas,useless,"The worst thing that could happen when you are watching a movie is that you don't care, you couldn't care less. That is what happened when I saw it and mind you this is no lousy production or a B-movie, I mean the main actors are people like Deniro, Sorvino, Pesci... It doesn't work.There is nothing intriguing, there is nothing ironical. Ray Liotta starts jazzing right away taking himself oh! so seriously and I couldn't care less. All characters are unpleasant. This movie is completely off balance.The inside scenes are too dark. The light is terrible. And I am sick and tired of these Scorsese movies with the background music so loud! Hasn't anybody noticed that the voices of the actors are barely audible?",1.0,cfcpg,2005/11/28,147,60
130,Spider-Man 2,Ten years later...,"This is absolutely fantastic. This isn't just a sequel that was just as good as the first, it whooped the first movie so hard and it set the bar extremely high for future superhero movies and movies in general to come. Toby Maguire, Alfred Molina, James Franco, Rosemary Harris and extras play their roles wonderfully. Kirsten Dunst not so much.The characters have matured and you'll care for these characters. The story is much deeper and the stakes are higher than they wee in the first film.2 years after the first movie, Peter is suffering to balance his normal life and his crime fighting life. He's low on pay, he doesn't make time for Harry or Mary Jane, Peter is doing poorly in school, he doesn't want to feel this pain anymore. He meets Doc Ock, a scientist invested in his work, but when his experiment goes bad and kills his wife, he avenges her and swears to take down Spider-Man and all of New York by rebuilding his work, but bigger and stronger than ever. Now, Peter has to stand up and do what's right.The action in this movie is just perfect. Not too boring and not too intense. The CGI looks really amazing for 2004 and it hasn't aged yet. I love the fight on the clock tower and on top of the train. Although I did enjoy Danny Elfman's work in the first Spider-Man, he brings his A game to the sequel and it's fantastic. The music is calm, ambient, sad, and frantic when it appropriately needs to be. This is personally my favorite film score. It's just a shame that Elfman had an uncomfortable time composing for the movie.Quoting from the film critic Roger Ebert who didn't enjoy the first Sam Raimi Spider-Man that much, he said that Spider-Man 2 ""May be the best superhero movie I have ever seen."" If you have not seen Spider-Man 2, go and watch this. You are doing a massive disservice to yourself by missing out on a compelling story and spectacular fight sequences. 10 years later and I still love this movie so much. This is a special movie, one of my top 10 favorite movies ever. This will go down in the film history books.",10.0,Tyson14,2014/08/02,11,8
131,The Green Mile,"The Green Mile is a masterwork. This is film as art, at it's very best.","The Green Mile is a masterwork. This is film as art, at it's very best. The depth of the cast is extraordinary, with all of the players delivering excellent performances. There is a clear sense here that all involved in the production knew that this was something special, and gave it their all. See this film if you truly enjoy actors giving everything to their craft. Watch for the countless subtleties of expression, and the great power that the cast creates with silence. This is evident in the opening sequence and remains throughout. Above all, Michael Duncan as John Coffey is exceptional. He brings gripping emotion to a unique, fascinating character.The Green Mile should bring you joy, laughter, and if you are like most in the theater this night, tears.",8.0,mahmoud_abdelmohsen811,2014/05/08,3,2
132,Taxi Driver,Diary of a madman,"The script of ""Taxi Driver"" is built like a diary, the diary of a very ordinary guy who gets hired as a night taxi driver back from Vietnam, because he can't sleep at night. A very ordinary guy who tries to break his isolation, but can't, while violence accumulates inside him. One of those unnoticed people with dark things on their mind, one of those who break up the news one day with some extraordinary outburst of rage, to fall back immediately into anonymity.The gradual transformation of man into beast in this movie is chilling. It's still funny and pathetic when the hero threatens himself in front of the mirror (""you're talking to me?""), but when he comes out with a mohawk hairdo and dark glasses, it is obvious that nasty stuff is going to take place. As in ""A Clockwork Orange"", violence is recuperated by society depending on what purpose it is used for. Whereas he was about to murder the candidate for presidency, ""god's lonely man"" fails and instead kills a vicious pimp who exploits teenage prostitutes. The potential criminal becomes a hero for a day.Such stories happen everywhere of course, but it seems that the bewildering atmosphere of New York City's summer night was the best choice. ""Taxi Driver"" gives us a very realistic approach of New York, in a way that is not seen on screen so often, at least not anymore, whilst that city is probably the one in the world that has been filmed the biggest number of times.Most of the movie takes place at night. The credits open on the blazing lights of the yellow taxi cab moving slowly in the dark rainy streets. A kaleidoscope of neonlight appears through the dripping windows as the driver's eyes blink in the front mirror. The night is the hero's universe, it's the time when ""all the animals come out"", as he says. By contrast, the few daylight scenes look somewhat off-key, but this was definitely intentional.The final scene still appears today as extremely violent, but at least, it shows murder for what it is. Brutal, ugly, crude. It is something one tends to forget about after seeing so many police series where people get shot so often that it gets casual. Real violence is not casual when you face it, and here is a film that makes you face it.The directing is first class and deservedly made path for Scorsese as a world renowned artist. Some techniques he used here are unusual for American cinema, like focusing on details for a few seconds. The movie is enhanced by an excellent music soundtrack by jazz composer Bernard Herrman who died before the picture was even released.Two of the actors also deservedly made it to stardom. Robert de Niro plays a very unglamorous character, but his presence on screen is so intense that it's no wonder it made such an impression. As for Jodie Foster, she already appeared in films as a child, but playing a teenage prostitute was certainly not an easy challenge, and probably it was that role that really turned her into a major actress.""Taxi Driver"" was a big hit when it came out, both for the public and the critics. It won the Palme d'Or in Cannes, and served as a trend setter for many later films, like for instance Quentin Tarantino's and Abel Ferrara's. But even today, the original model seems difficult to emulate, probably because achieving a masterpiece is a rare thing, by definition.",10.0,francheval,2006/02/13,360,305
133,The Green Mile,My most favourite movie,"OMG! This movie has it all. The story, the characters, the setting. It's just such an emotional tear-jerker. I cannot understand how someone can dislike this movie. I can highly recommend this, I can guarantee you this will force you to reflect your own character as well as the choices the movie figures make.",10.0,undsiebzig,2019/09/07,9,8
134,Spider-Man 2,A Nearly Flawless Super-Hero Movie,"Despite #1 being a very good movie, 'Spider-Man 2' falls under the ""Surprisingly Better"" sequels. Now, that's not to say, #2 didn't have its problems. It did, including one lingering from #1 (pacing,) but overall, they moved forward with the series. And in high-speed.Already established web-slinger, do-gooder, Spider-Man continues his plight in saving kids and punishing criminals all the while getting beaten up (emotionally) as Peter Parker. In fact, they show more than enough of his beat-downs. We get it already – he's a nerd that everyone takes advantage of.At any rate, he's still pursuing both MJ (Dunst,) who's now engaged to a more ""stable"" astronaut and Dr. Otto Octavius all the while, he's avoiding best friend (of Pete)/mortal enemy (of Spidey) Harry (Franco.) To make matters worse, his mother's losing her home, Pete's losing his apartment, Doc Ock's becoming an eight-limbed crazed scientist and he's getting Spidey-blocked, or unable to use his powers as his mind's overloaded.There's actually a lot more, but that's for the viewer to see. Don't want to give away everything. Suffice to say, Pete's got a lot on his mind. Thankfully, they've up'd the villain-scale with Dr. Octopus played brilliantly by (unknown to me at the time) Alfred Molina. He ranks as one of the best on-screen villains of all time. His quiet tone, brilliant mind and attitude and mannerisms, especially being attached to 4 additional limbs, made him quite believable despite his appearance. Side Note: Doc Ock was always my favorite Spider-Man villain, and since they did a great job, this is my favorite Spider-Man movie, by a long shot.Hopefully most people picked up on the operation scene, when they tried to rid Dr. Octavius of his metal contraptions and how it was an absolute perfect homage to Raimi's previous work. That was so 'Evil Dead' that, though it was hard to watch, especially the nail scrape, I was so impressed that he came back to his roots vs. the main-stream 'Spider-Man' had become. If you don't believe me, split screen the chainsaw with 'Evil Dead 2' and 'Army of Darkness.' There are a lot of excellent action sequences, tension and fun to be had in 'Spider-Man 2.' (The train scene, itself, is worth admission.) Nevertheless, the movie should've been cut back some – pacing is such a problem for Raimi and enough already with on again/off again relationship with MJ & Parker.In addition, we get the multiple ""Should I be a 'superhero' or not"" long scenes. Superman did that, but only briefly in another superhero part 2: 'Superman II.' That's old and wears heavily. Thankfully, they move past it and you can enjoy the movie. Of course, if you can get past now multiple people knowing Spidey's true identity, that is.I cringe that the movie critic I respect the most (Roger Ebert,) called this the best superhero movie he's ever seen. I wouldn't go that far (I'll always be partial to 'Superman: The Movie.' Heck, a few years later 'The Dark Knight' blew this one away) but I would say it's absolutely recommended. Especially since we didn't have to wait too long to see Spider-Man swing, unlike part one.",9.0,thesar-2,2009/11/15,26,18
135,The Green Mile,Tear jerker,"That's right, this movie is so bad that I cried. I cried because people, sitting right there close to me bought this predictible, racist, simple, Tom Hanks disaster. WOW, Tom Hanks can play a nice man in a long drama, we already now Tom, please, try some variety here. The acting was marginal, the story was pointless and the moral of the story is.......?????? I have no idea......is it Life is long? life is magical if you are on death row? Tom Hanks likes mice? I don't now and I don't care. Go see American Beauty again and save yourself 3 long dreadful hours!",4.0,ChiefWahoo,2000/02/19,7,4
136,Taxi Driver,"Best movie of the Seventies, and one of the greatest of all time.","So much has been written and talked about 'Taxi Driver' that it seems almost redundant to add anything more. But watching it again the other night for the nth time I was, as I have been every single time I've seen it, struck by just how perfect this movie is. It is as powerful and disturbing now as it was twenty-five years ago. It has not only NOT aged, it gets better and more relevant every year. This is without doubt a modern classic, and one of the handful of truly great, timeless movies.Scorsese and Schrader went on to make other great movies after this, both separately ('The King Of Comedy', 'Light Sleeper') and together ('Raging Bull', 'The Last Temptation Of Christ'), but this is easily the best movie of their careers. And Robert De Niro's too. He has yet to top his stunning performance here as the deeply disturbed and alienated Vietnam veteran Travis Bickle, cabbie and would be assassin. This character has not surprisingly entered movie legend. Scorsese surrounds De Niro with a first rate supporting cast, including small but effective roles from Harvey Keitel ('Reservoir Dogs'), Peter Boyle ('Hardcore'), the underrated Victor Argo ('The King Of New York') and Joe Spinell ('Maniac'). Albert Brooks and Jodie Foster are also very good, and even Cybil Shepherd, the butt of many jokes, is fine as Bickle's obsession. When you combine these actors, Schrader's outstanding script, and Scorsese's brilliant direction, with the stunning cinematography (Michael Chapman) and haunting score (Hitchcock fave Bernard Herrmann's final effort), you have yourself a truly unforgettable cinematic experience. If you haven't seen 'Taxi Driver' I urge you to do so immediately. It is a masterpiece, pure and simple.",,Infofreak,2002/06/04,218,148
137,The Green Mile,One of the most penetrating films,"It's not everyday that a movie is able to change an audiences opinion on something. ""The Green Mile"" is a movie that made me think long and hard about supporting the death penalty. The film, based on a novel by Stephen King, contains such a variety of emotional events that it repels its audience away from its subject rather than glamorizing it. Only a handful of recent productions have been capable of such power. ""The Green Mile"" is truly one of the best films this year and is Oscar Worthy in many categories. It is a unique, three hour experience that must be seen to believe. ""The Green Mile"" contains so many vivid performances, I will not be able to honor everyone who deserves credit in my review. Michael Jeter, Gary Sinise, Doug Hutchison, James Cromwell, Bonnie Hunt, and David Morse are all superior in strength of their characters. Each contributes Oscar worthy performances, and if the Academy leaves these individuals out at Award time, they need to recheck their databases. Michael Clarke Duncan recently received a Golden Globe nomination for his supporting role, and he deserves it. Tom Hanks is just unspeakably brilliant in the leading role. He is right behind Kevin Spacey from ""American Beauty"" in the best performance of 1999.",9.0,Tucker_Keon,2008/08/18,3,2
